indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,I5_8,PC_IND,MT	74.32 	78.81 	83.09 	90.59 	87.39 	95.26 	93.47 	93.24 
I_IUMD,I5_8,PC_IND,NL	65.59 	77.16 	84.16 	86.74 	89.55 	95.08 	94.27 	95.33 
I_IUMD,I5_8,PC_IND,NO	84.53 	88.86 	86.33 	88.77 	87.77 	92.21 	92.65 	96.21 
I_IUMD,I5_8,PC_IND,PL	45.82 	56.58 	62.16 	72.07 	51.10 	61.26 	70.77 	79.79 
I_IUMD,I5_8,PC_IND,PT	44.44 	47.83 	66.25 	78.27 	80.88 	88.78 	87.36 	91.89 
I_IUMD,I5_8,PC_IND,RO	25.62 	43.46 	57.57 b	74.83 	79.20 	85.35 	87.96 	92.59 
I_IUMD,I5_8,PC_IND,RS	: 	: 	: 	55.49 	: 	72.99 	74.80 	82.40 
I_IUMD,I5_8,PC_IND,SE	79.08 	78.13 	86.20 	86.51 	87.07 b	91.79 	93.19 	96.64 
I_IUMD,I5_8,PC_IND,SI	50.94 	65.20 	72.47 	74.16 	76.59 	84.06 	86.00 	93.98 
I_IUMD,I5_8,PC_IND,SK	55.53 	59.90 	69.21 	79.33 	76.75 	84.23 	81.43 	89.31 
I_IUMD,I5_8,PC_IND,TR	40.61 	56.84 	71.08 	80.88 	90.53 	94.65 	92.83 	96.95 
I_IUMD,I5_8,PC_IND,UK	76.65 	77.78 	84.03 	87.28 	89.74 	91.21 	93.93 	95.59 b
I_IUMD,I5_8,PC_IND,XK	: 	: 	: 	: 	: 	91.75 	88.84 	91.95 
I_IUMD,IND_TOTAL,PC_IND,AL	: 	: 	: 	: 	: 	: 	54.28 	68.01 
I_IUMD,IND_TOTAL,PC_IND,AT	44.96 	50.75 	56.81 	63.86 	64.73 	73.98 	73.76 	81.80 
I_IUMD,IND_TOTAL,PC_IND,BA	: 	: 	: 	: 	: 	: 	60.32 	56.75 
I_IUMD,IND_TOTAL,PC_IND,BE	43.74 	47.19 	58.83 	68.60 	70.78 	75.07 	76.38 	85.58 
I_IUMD,IND_TOTAL,PC_IND,BG	12.52 	19.74 	27.44 	38.02 	44.70 	55.79 	56.93 	64.41 
I_IUMD,IND_TOTAL,PC_IND,CH	: 	: 	59.98 	: 	: 	68.97 b	: 	88.70 
I_IUMD,IND_TOTAL,PC_IND,CY	24.54 	29.28 	43.14 	58.81 	62.24 	70.13 	74.54 	79.47 
I_IUMD,IND_TOTAL,PC_IND,CZ	: u	28.70 	37.29 	44.56 	: u	59.64 	66.14 	72.53 
I_IUMD,IND_TOTAL,PC_IND,DE	31.09 	43.91 	55.64 	63.04 	67.89 	75.42 	79.92 	76.96 
I_IUMD,IND_TOTAL,PC_IND,DK	61.43 	65.66 	74.97 	78.28 	81.87 	83.42 	88.03 	91.83 
I_IUMD,IND_TOTAL,PC_IND,EA	33.84 	42.02 	50.90 	55.91 	59.01 	65.31 	69.48 	74.28 
I_IUMD,IND_TOTAL,PC_IND,EE	36.95 	46.48 	57.51 b	61.19 	61.87 	67.86 	70.62 	77.98 
I_IUMD,IND_TOTAL,PC_IND,EL	22.50 	26.75 	36.92 	44.38 	47.06 	52.60 	55.28 	63.14 
I_IUMD,IND_TOTAL,PC_IND,ES	38.37 	50.27 	62.26 	66.76 	72.13 	77.59 	80.48 	86.77 
I_IUMD,IND_TOTAL,PC_IND,EU27_2007	35.51 	42.65 	51.23 	57.07 	59.38 	65.51 	69.31 	: 
I_IUMD,IND_TOTAL,PC_IND,EU27_2020	31.62 	39.35 	48.02 	54.03 	56.13 	62.70 	67.25 	73.08 
I_IUMD,IND_TOTAL,PC_IND,EU28	35.53 	42.63 	51.14 	57.01 	59.32 	65.39 	69.26 	75.04 
I_IUMD,IND_TOTAL,PC_IND,FI	56.30 	61.02 	69.27 	73.05 	75.79 	79.19 	78.43 	: 
I_IUMD,IND_TOTAL,PC_IND,FR	43.38 	51.11 	58.43 	61.35 	60.54 b	68.41 	73.85 	81.08 
I_IUMD,IND_TOTAL,PC_IND,HR	37.52 	39.97 	40.61 	49.72 	51.54 	51.26 	62.83 	72.23 
I_IUMD,IND_TOTAL,PC_IND,HU	17.54 	28.89 	43.50 	52.34 	58.11 	62.49 	: u	72.30 
I_IUMD,IND_TOTAL,PC_IND,IE	51.11 	58.70 	65.20 	69.34 	68.74 	74.56 	72.73 	84.47 
I_IUMD,IND_TOTAL,PC_IND,IS	59.73 	61.08 	68.07 	: 	: 	84.45 	83.48 	87.56 
I_IUMD,IND_TOTAL,PC_IND,IT	16.07 	18.67 	23.55 	25.92 	29.24 	31.76 	39.66 	49.55 
I_IUMD,IND_TOTAL,PC_IND,LT	17.25 	25.10 	32.05 	37.66 	44.83 	55.03 	61.96 	69.95 
I_IUMD,IND_TOTAL,PC_IND,LU	62.65 	66.45 	70.40 	79.59 	78.20 	82.07 	84.00 b	86.14 
I_IUMD,IND_TOTAL,PC_IND,LV	25.31 	32.29 	35.06 	43.56 	48.39 b	57.10 	58.77 	67.18 
I_IUMD,IND_TOTAL,PC_IND,ME	33.74 	: 	: 	: 	: 	69.87 	69.67 	71.43 
I_IUMD,IND_TOTAL,PC_IND,MK	17.28 	26.64 	40.46 	52.45 	57.00 	64.97 	60.32 	73.67 
I_IUMD,IND_TOTAL,PC_IND,MT	40.48 	43.28 	51.60 	63.62 	63.83 	71.56 	70.54 	76.05 
I_IUMD,IND_TOTAL,PC_IND,NL	54.98 	64.93 	70.35 	75.50 	78.41 	86.60 	85.96 	89.07 
I_IUMD,IND_TOTAL,PC_IND,NO	75.47 	78.59 	78.85 	83.03 	80.46 	86.51 	88.85 	93.34 
I_IUMD,IND_TOTAL,PC_IND,PL	21.88 	30.39 	35.84 	43.95 	32.06 	39.94 	48.61 	58.74 
I_IUMD,IND_TOTAL,PC_IND,PT	21.39 	23.66 	36.50 	45.48 	50.70 	57.93 	60.42 	63.33 
I_IUMD,IND_TOTAL,PC_IND,RO	7.26 	15.49 	25.24 b	37.75 	44.30 	52.76 	57.53 	69.74 
I_IUMD,IND_TOTAL,PC_IND,RS	: 	: 	: 	34.79 	: 	53.23 	57.46 	62.20 
I_IUMD,IND_TOTAL,PC_IND,SE	70.08 	70.55 	76.23 	76.77 	79.74 b	86.61 	88.27 	93.48 
I_IUMD,IND_TOTAL,PC_IND,SI	30.25 	39.12 	42.46 	51.17 	54.31 	63.35 	67.11 	76.23 
I_IUMD,IND_TOTAL,PC_IND,SK	37.67 	41.53 	50.48 	54.48 	58.49 	64.25 	61.61 	70.69 
I_IUMD,IND_TOTAL,PC_IND,TR	13.55 	21.08 	32.41 	40.21 	52.70 	61.79 	64.48 	71.94 
I_IUMD,IND_TOTAL,PC_IND,UK	63.37 	66.45 	73.18 	79.44 	81.42 	83.97 	83.07 	88.37 
I_IUMD,IND_TOTAL,PC_IND,XK	: 	: 	: 	: 	: 	74.91 	75.83 	78.94 
I_IUMD,M_Y16_74,PC_IND,AL	: 	: 	: 	: 	: 	: 	58.94 	70.68 
I_IUMD,M_Y16_74,PC_IND,AT	51.39 	57.23 	62.96 	68.56 	69.39 	77.08 	75.89 	84.31 
I_IUMD,M_Y16_74,PC_IND,BA	: 	: 	: 	: 	: 	: 	65.89 	60.47 
I_IUMD,M_Y16_74,PC_IND,BE	47.90 	52.66 	61.72 	69.88 	73.44 	76.40 	78.20 	86.72 
I_IUMD,M_Y16_74,PC_IND,BG	13.73 	21.87 	29.65 	39.56 	46.38 	57.89 	59.22 	66.12 
I_IUMD,M_Y16_74,PC_IND,CH	: 	: 	64.63 	: 	: 	71.63 b	: 	89.85 
I_IUMD,M_Y16_74,PC_IND,CY	28.38 	32.48 	45.80 	60.65 	62.60 	70.01 	76.02 	79.98 
I_IUMD,M_Y16_74,PC_IND,CZ	: u	34.23 	43.34 	49.39 	: u	63.16 	67.59 	73.87 
I_IUMD,M_Y16_74,PC_IND,DE	36.77 	49.30 	59.84 	66.15 	70.36 	77.45 	81.11 	78.61 
I_IUMD,M_Y16_74,PC_IND,DK	65.00 	67.87 	75.57 	79.24 	81.95 	84.00 	88.37 	91.97 
I_IUMD,M_Y16_74,PC_IND,EA	38.58 	46.23 	54.01 	58.48 	60.81 	67.09 	70.97 	75.60 
I_IUMD,M_Y16_74,PC_IND,EE	41.13 	50.87 	60.80 b	65.73 	63.58 	70.07 	73.45 	79.01 
I_IUMD,M_Y16_74,PC_IND,EL	27.39 	29.27 	39.63 	48.12 	49.61 	55.89 	58.34 	66.14 
I_IUMD,M_Y16_74,PC_IND,ES	42.66 	53.39 	64.32 	67.96 	73.87 	78.59 	80.66 	86.10 
I_IUMD,M_Y16_74,PC_IND,EU27_2007	39.77 	46.48 	54.54 	59.63 	61.52 	67.53 	70.60 	: 
I_IUMD,M_Y16_74,PC_IND,EU27_2020	36.01 	43.34 	51.12 	56.67 	58.06 	64.62 	68.71 	74.42 
I_IUMD,M_Y16_74,PC_IND,EU28	39.84 	46.49 	54.44 	59.59 	61.47 	67.46 	70.56 	76.35 
I_IUMD,M_Y16_74,PC_IND,FI	61.90 	66.13 	74.30 	73.94 	77.28 	79.92 	78.60 	: 
I_IUMD,M_Y16_74,PC_IND,FR	47.99 	55.74 	60.88 	64.00 	60.60 b	69.63 	75.31 	81.94 
I_IUMD,M_Y16_74,PC_IND,HR	47.05 	47.54 	42.40 	54.90 	55.42 	58.83 	65.44 	74.48 
I_IUMD,M_Y16_74,PC_IND,HU	21.36 	31.53 	47.64 	55.66 	61.23 	64.00 	: u	73.44 
I_IUMD,M_Y16_74,PC_IND,IE	53.15 	59.63 	65.34 	68.83 	68.44 	73.05 	72.79 	83.26 
I_IUMD,M_Y16_74,PC_IND,IS	63.34 	62.44 	66.99 	: 	: 	84.67 	82.45 	88.06 
I_IUMD,M_Y16_74,PC_IND,IT	19.90 	21.15 	26.08 	28.52 	31.12 	33.85 	41.87 	51.94 
I_IUMD,M_Y16_74,PC_IND,LT	21.21 	29.20 	35.87 	38.63 	47.96 	56.40 	63.25 	69.13 
I_IUMD,M_Y16_74,PC_IND,LU	69.15 	69.51 	73.08 	84.26 	80.42 	84.35 	87.21 b	87.78 
I_IUMD,M_Y16_74,PC_IND,LV	29.59 	36.86 	39.04 	46.49 	51.04 b	59.38 	59.60 	68.67 
I_IUMD,M_Y16_74,PC_IND,ME	38.28 	: 	: 	: 	: 	72.63 	69.83 	73.60 
I_IUMD,M_Y16_74,PC_IND,MK	18.31 	30.20 	44.84 	55.32 	61.30 	67.60 	64.66 	75.34 
I_IUMD,M_Y16_74,PC_IND,MT	44.25 	44.71 	52.25 	64.14 	65.21 	71.85 	70.31 	76.34 
I_IUMD,M_Y16_74,PC_IND,NL	60.29 	69.95 	72.47 	75.92 	79.42 	87.54 	86.66 	90.32 
I_IUMD,M_Y16_74,PC_IND,NO	79.99 	80.66 	82.03 	84.43 	81.40 	87.27 	89.86 	93.15 
I_IUMD,M_Y16_74,PC_IND,PL	24.58 	33.81 	38.09 	46.04 	33.51 	41.78 	50.07 	60.06 
I_IUMD,M_Y16_74,PC_IND,PT	25.46 	28.04 	41.88 	50.80 	52.84 	60.44 	62.97 	66.55 
I_IUMD,M_Y16_74,PC_IND,RO	8.80 	16.61 	28.22 b	41.06 	47.64 	55.32 	59.34 	71.63 
I_IUMD,M_Y16_74,PC_IND,RS	: 	: 	: 	40.88 	: 	57.44 	60.94 	66.80 
I_IUMD,M_Y16_74,PC_IND,SE	73.65 	72.68 	76.61 	77.04 	81.12 b	88.32 	86.28 	93.64 
I_IUMD,M_Y16_74,PC_IND,SI	34.27 	41.79 	43.22 	54.00 	56.86 	65.03 	68.54 	76.71 
I_IUMD,M_Y16_74,PC_IND,SK	43.19 	46.06 	54.62 	57.84 	60.23 	66.75 	64.44 	72.43 
I_IUMD,M_Y16_74,PC_IND,TR	17.46 	25.91 	39.45 	48.14 	61.36 	69.83 	71.43 	78.63 
I_IUMD,M_Y16_74,PC_IND,UK	66.88 	69.24 	73.99 	80.99 	80.61 	84.01 	83.26 	89.35 
I_IUMD,M_Y16_74,PC_IND,XK	: 	: 	: 	: 	: 	76.21 	75.55 	80.16 
I_IUMD,RETIR_OTHER,PC_IND,AL	: 	: 	: 	: 	: 	: 	25.06 	40.32 
I_IUMD,RETIR_OTHER,PC_IND,AT	16.27 	19.13 	23.11 	27.00 	31.61 	43.19 	45.98 	54.36 
I_IUMD,RETIR_OTHER,PC_IND,BA	: 	: 	: 	: 	: 	: 	31.42 	34.17 
I_IUMD,RETIR_OTHER,PC_IND,BE	19.95 	22.83 	32.15 	41.97 	43.71 	49.69 	49.54 	67.20 
I_IUMD,RETIR_OTHER,PC_IND,BG	1.37 	3.12 	4.45 	9.40 	11.27 	18.60 	20.99 	25.78 
I_IUMD,RETIR_OTHER,PC_IND,CH	: 	: 	25.46 	: 	: 	43.29 b	: 	75.29 
I_IUMD,RETIR_OTHER,PC_IND,CY	7.10 	9.55 	14.62 	28.80 	29.29 	35.35 	40.43 	49.03 
I_IUMD,RETIR_OTHER,PC_IND,CZ	: u	7.49 	10.57 	14.65 	: u	23.84 	29.38 	38.22 
I_IUMD,RETIR_OTHER,PC_IND,DE	10.27 	17.17 	25.10 	31.39 	36.13 	46.16 	53.57 	45.94 
I_IUMD,RETIR_OTHER,PC_IND,DK	36.37 	36.65 	46.98 	54.84 	58.91 	60.85 	74.82 	77.95 
I_IUMD,RETIR_OTHER,PC_IND,EA	11.21 	15.88 	21.69 	25.85 	29.53 	36.58 	42.56 	48.55 
I_IUMD,RETIR_OTHER,PC_IND,EE	13.15 	20.75 	26.93 b	27.21 	27.49 	31.41 	35.31 	42.73 
I_IUMD,RETIR_OTHER,PC_IND,EL	2.90 	5.98 	10.71 	14.63 	15.87 	21.25 	22.54 	30.88 
I_IUMD,RETIR_OTHER,PC_IND,ES	8.96 	15.06 	24.18 	28.44 	35.80 	45.10 	51.46 	64.84 
I_IUMD,RETIR_OTHER,PC_IND,EU27_2007	12.89 	16.55 	22.55 	27.71 	30.33 	36.56 	42.61 	: 
I_IUMD,RETIR_OTHER,PC_IND,EU27_2020	9.97 	14.21 	19.52 	24.09 	26.99 	33.39 	39.24 	46.01 
I_IUMD,RETIR_OTHER,PC_IND,EU28	12.83 	16.48 	22.44 	27.57 	30.18 	36.33 	42.46 	48.46 
I_IUMD,RETIR_OTHER,PC_IND,FI	26.22 	32.15 	38.81 	42.72 	45.96 	48.95 	51.44 	: 
I_IUMD,RETIR_OTHER,PC_IND,FR	17.96 	24.60 	30.32 	31.72 	33.24 b	39.29 	48.62 	59.40 
I_IUMD,RETIR_OTHER,PC_IND,HR	7.29 	9.29 	9.65 	13.27 	14.12 	15.63 	26.06 	36.95 
I_IUMD,RETIR_OTHER,PC_IND,HU	3.93 	9.09 	16.58 	21.41 	26.58 	30.07 	: u	42.72 
I_IUMD,RETIR_OTHER,PC_IND,IE	27.38 	34.08 	40.42 	44.12 	44.07 	48.88 	43.34 	63.73 
I_IUMD,RETIR_OTHER,PC_IND,IS	: 	37.32 	38.72 	: 	: 	60.92 	57.89 	79.16 
I_IUMD,RETIR_OTHER,PC_IND,IT	3.05 	3.35 	4.72 	7.11 	9.08 	12.41 	19.20 	26.35 
I_IUMD,RETIR_OTHER,PC_IND,LT	1.97 	2.62 	6.16 	8.49 	12.64 	17.73 	26.25 	33.92 
I_IUMD,RETIR_OTHER,PC_IND,LU	36.38 	45.54 	44.99 	57.65 	59.07 	61.25 	64.64 b	69.25 
I_IUMD,RETIR_OTHER,PC_IND,LV	5.10 	8.31 	7.79 	12.28 	12.54 b	19.63 	18.55 	25.46 
I_IUMD,RETIR_OTHER,PC_IND,ME	9.37 	: 	: 	: 	: 	29.45 	21.99 	33.66 
I_IUMD,RETIR_OTHER,PC_IND,MK	1.91 	3.15 	8.57 	18.63 	25.09 	30.82 	28.21 	45.82 
I_IUMD,RETIR_OTHER,PC_IND,MT	12.72 	13.80 	21.77 	32.80 	32.61 	39.51 	36.72 	44.55 
I_IUMD,RETIR_OTHER,PC_IND,NL	26.02 	33.29 	42.73 	49.29 	54.81 	65.93 	66.31 	73.58 
I_IUMD,RETIR_OTHER,PC_IND,NO	44.21 	54.52 	42.58 	56.84 	49.25 	63.13 	68.69 	78.97 
I_IUMD,RETIR_OTHER,PC_IND,PL	3.72 	8.90 	11.17 	16.04 	8.93 	12.75 	18.62 	26.72 
I_IUMD,RETIR_OTHER,PC_IND,PT	2.67 	3.77 	7.07 	12.16 	15.16 	17.49 	20.44 	22.64 
I_IUMD,RETIR_OTHER,PC_IND,RO	1.10 	2.91 	6.55 b	12.21 	15.18 	23.21 	28.03 	42.23 
I_IUMD,RETIR_OTHER,PC_IND,RS	: 	: 	: 	6.09 	: 	20.51 	26.60 	34.91 
I_IUMD,RETIR_OTHER,PC_IND,SE	33.35 	32.99 	43.31 	44.34 	57.77 b	59.91 	: u	74.41 
I_IUMD,RETIR_OTHER,PC_IND,SI	3.41 	6.91 	12.35 	11.42 	22.90 	22.94 	25.00 	42.73 
I_IUMD,RETIR_OTHER,PC_IND,SK	7.80 	10.21 	13.55 	16.05 	24.61 	30.83 	24.12 	35.14 
I_IUMD,RETIR_OTHER,PC_IND,TR	3.65 	6.75 	12.93 	17.16 	28.59 	38.65 	43.69 	51.75 
I_IUMD,RETIR_OTHER,PC_IND,UK	34.95 	35.67 	45.72 	54.55 	54.94 	59.17 	63.51 	66.47 
I_IUMD,RETIR_OTHER,PC_IND,XK	: 	: 	: 	: 	: 	57.62 	48.30 	59.94 
I_IUMD,SAL_SELF_FAM,PC_IND,AL	: 	: 	: 	: 	: 	: 	62.38 	74.99 
I_IUMD,SAL_SELF_FAM,PC_IND,AT	52.98 	59.87 	66.81 	74.18 	74.03 	84.43 	83.19 	91.10 
I_IUMD,SAL_SELF_FAM,PC_IND,BA	: 	: 	: 	: 	: 	: 	82.09 	74.57 
I_IUMD,SAL_SELF_FAM,PC_IND,BE	51.08 	53.87 	68.82 	78.84 	82.13 	84.95 	86.58 	93.22 
I_IUMD,SAL_SELF_FAM,PC_IND,BG	18.38 	26.52 	35.75 	50.39 	58.99 	73.56 	74.29 	83.23 
I_IUMD,SAL_SELF_FAM,PC_IND,CH	: 	: 	67.05 	: 	: 	75.95 b	: 	92.81 
I_IUMD,SAL_SELF_FAM,PC_IND,CY	25.95 	30.56 	48.41 	65.86 	71.58 	78.07 	83.67 	86.60 
I_IUMD,SAL_SELF_FAM,PC_IND,CZ	: u	33.00 	43.19 	52.07 	: u	69.89 	76.68 	83.87 
I_IUMD,SAL_SELF_FAM,PC_IND,DE	37.99 	51.88 	65.60 	72.97 	77.97 	84.92 	88.41 	87.27 
I_IUMD,SAL_SELF_FAM,PC_IND,DK	66.95 	72.88 	82.81 	85.80 	88.23 	89.79 	94.27 	96.04 
I_IUMD,SAL_SELF_FAM,PC_IND,EA	41.12 	50.25 	60.71 	65.75 	68.89 	75.51 	79.00 	83.59 
I_IUMD,SAL_SELF_FAM,PC_IND,EE	42.54 	52.42 	64.97 b	69.47 	70.66 	76.65 	79.89 	87.13 
I_IUMD,SAL_SELF_FAM,PC_IND,EL	29.13 	35.42 	49.51 	56.96 	58.96 	66.09 	67.63 	77.09 
I_IUMD,SAL_SELF_FAM,PC_IND,ES	47.31 	63.42 	75.78 	80.47 	85.45 	89.58 	90.91 	94.81 
I_IUMD,SAL_SELF_FAM,PC_IND,EU27_2007	42.94 	50.87 	60.52 	66.73 	68.70 	75.23 	78.90 	: 
I_IUMD,SAL_SELF_FAM,PC_IND,EU27_2020	38.56 	47.25 	57.30 	63.78 	65.37 	72.64 	76.91 	82.74 
I_IUMD,SAL_SELF_FAM,PC_IND,EU28	42.96 	50.87 	60.47 	66.73 	68.70 	75.21 	78.92 	84.63 
I_IUMD,SAL_SELF_FAM,PC_IND,FI	64.50 	68.91 	77.30 	82.46 	84.85 	88.10 	87.70 	: 
I_IUMD,SAL_SELF_FAM,PC_IND,FR	49.53 	58.75 	68.02 	70.79 	69.89 b	79.94 	83.09 	89.43 
I_IUMD,SAL_SELF_FAM,PC_IND,HR	46.31 	50.78 	52.62 	66.46 	68.13 	72.51 	81.19 	88.93 
I_IUMD,SAL_SELF_FAM,PC_IND,HU	22.86 	36.71 	54.67 	65.49 	70.84 	77.12 	: u	86.52 
I_IUMD,SAL_SELF_FAM,PC_IND,IE	60.76 	68.09 	73.54 	79.28 	78.27 	83.74 	86.57 	91.21 
I_IUMD,SAL_SELF_FAM,PC_IND,IS	60.64 	61.15 	70.92 	: 	: 	87.39 	87.57 	90.32 
I_IUMD,SAL_SELF_FAM,PC_IND,IT	20.74 	19.67 	24.95 	25.45 	29.95 	32.94 	43.04 	55.61 
I_IUMD,SAL_SELF_FAM,PC_IND,LT	18.52 	28.96 	35.64 	43.93 	53.54 	67.17 	73.87 	80.87 
I_IUMD,SAL_SELF_FAM,PC_IND,LU	68.61 	70.83 	75.11 	80.87 	81.71 	85.56 	90.51 b	93.65 
I_IUMD,SAL_SELF_FAM,PC_IND,LV	30.84 	37.90 	42.36 	51.74 	57.53 b	67.77 	69.59 	78.81 
I_IUMD,SAL_SELF_FAM,PC_IND,ME	42.89 	: 	: 	: 	: 	87.27 	89.11 	92.64 
I_IUMD,SAL_SELF_FAM,PC_IND,MK	22.24 	31.89 	51.31 	64.29 	67.63 	77.95 	73.42 	85.50 
I_IUMD,SAL_SELF_FAM,PC_IND,MT	53.82 	55.58 	65.99 	77.75 	79.16 	85.62 	84.91 	87.09 
I_IUMD,SAL_SELF_FAM,PC_IND,NL	64.51 	75.79 	80.43 	85.20 	87.44 	93.27 	92.92 	94.49 
I_IUMD,SAL_SELF_FAM,PC_IND,NO	80.48 	81.87 	85.31 	89.65 	87.36 	91.58 	92.94 	96.28 
I_IUMD,SAL_SELF_FAM,PC_IND,PL	27.77 	38.43 	43.73 	53.16 	34.93 	45.75 	56.98 	69.00 
I_IUMD,SAL_SELF_FAM,PC_IND,PT	23.79 	26.09 	44.27 	55.67 	59.97 	68.93 	71.92 	75.37 
I_IUMD,SAL_SELF_FAM,PC_IND,RO	8.93 	17.92 	29.01 b	44.26 	53.14 	61.92 	68.26 	80.52 
I_IUMD,SAL_SELF_FAM,PC_IND,RS	: 	: 	: 	57.76 	: 	72.85 	75.89 	82.47 
I_IUMD,SAL_SELF_FAM,PC_IND,SE	75.27 	79.97 	83.29 	85.20 	86.32 b	93.83 	92.00 	97.80 
I_IUMD,SAL_SELF_FAM,PC_IND,SI	35.24 	49.36 	52.47 	65.57 	66.44 	78.02 	81.44 	88.87 
I_IUMD,SAL_SELF_FAM,PC_IND,SK	44.55 	47.70 	58.78 	67.21 	68.76 	75.01 	73.17 	82.29 
I_IUMD,SAL_SELF_FAM,PC_IND,TR	18.59 	29.10 	43.83 	55.63 	67.70 	76.40 	77.28 	85.21 
I_IUMD,SAL_SELF_FAM,PC_IND,UK	71.28 	74.61 	80.64 	87.54 	89.83 	91.62 	91.29 	95.80 
I_IUMD,SAL_SELF_FAM,PC_IND,XK	: 	: 	: 	: 	: 	81.11 	80.17 	87.34 
I_IUMD,STUD,PC_IND,AL	: 	: 	: 	: 	: 	: 	87.19 	95.80 
I_IUMD,STUD,PC_IND,AT	83.82 	89.10 	94.43 	98.54 	97.11 	96.51 	97.05 	98.53 
I_IUMD,STUD,PC_IND,BA	: 	: 	: 	: 	: 	: 	91.53 	94.55 
I_IUMD,STUD,PC_IND,BE	73.02 	81.32 	80.06 	91.15 	93.92 	91.58 	93.22 	95.27 
I_IUMD,STUD,PC_IND,BG	29.96 	55.99 	72.47 	83.52 	91.13 	94.86 	94.81 	97.20 
I_IUMD,STUD,PC_IND,CH	: 	: 	84.67 	: 	: 	85.69 b	: 	98.29 
I_IUMD,STUD,PC_IND,CY	61.00 	70.61 	85.82 	95.91 	95.81 	98.81 	96.95 	99.19 
I_IUMD,STUD,PC_IND,CZ	: u	67.97 	79.13 	87.17 	: u	93.51 	96.61 	98.77 
I_IUMD,STUD,PC_IND,DE	56.29 	80.28 	87.23 	90.55 	93.80 	94.83 	97.87 	94.01 
