indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,STUD,PC_IND,DK	86.89 	88.58 	92.41 	91.90 	95.09 	96.94 	97.08 	98.19 
I_IUMD,STUD,PC_IND,EA	65.37 	79.02 	84.17 	89.02 	90.40 	92.26 	92.74 	94.16 
I_IUMD,STUD,PC_IND,EE	67.81 	76.51 	92.09 b	92.70 	96.42 	97.43 	97.58 	98.53 
I_IUMD,STUD,PC_IND,EL	58.47 	67.12 	77.82 	84.72 	88.41 	92.26 	91.00 	95.07 
I_IUMD,STUD,PC_IND,ES	75.89 	86.13 	93.28 	93.35 	95.16 	96.72 	96.73 	98.77 
I_IUMD,STUD,PC_IND,EU27_2007	65.17 	77.46 	84.07 	89.72 	89.89 	92.19 	92.54 	: 
I_IUMD,STUD,PC_IND,EU27_2020	61.56 	74.96 	82.28 	88.64 	89.32 	91.85 	92.85 	94.92 
I_IUMD,STUD,PC_IND,EU28	65.46 	77.51 	84.06 	89.78 	89.88 	92.21 	92.60 	95.35 
I_IUMD,STUD,PC_IND,FI	80.18 	82.47 	93.23 	92.70 	96.18 	96.84 	95.10 	: 
I_IUMD,STUD,PC_IND,FR	78.29 	83.26 	82.62 	90.79 	88.68 b	91.29 	91.39 	95.46 
I_IUMD,STUD,PC_IND,HR	87.44 	81.64 	83.15 	96.27 	89.16 	96.00 	98.04 	98.17 
I_IUMD,STUD,PC_IND,HU	38.21 	63.50 	81.01 	89.13 	92.07 	94.19 	: u	96.74 
I_IUMD,STUD,PC_IND,IE	78.19 	88.68 	94.31 	94.52 	91.06 	94.73 	98.80 	98.34 
I_IUMD,STUD,PC_IND,IS	86.81 	84.23 	93.43 	: 	: 	96.84 	87.77 	93.56 u
I_IUMD,STUD,PC_IND,IT	39.65 	64.13 	72.41 	78.15 	80.96 	82.83 	82.36 	86.60 
I_IUMD,STUD,PC_IND,LT	52.12 	66.62 	82.08 	85.63 	86.85 	95.70 	96.22 	96.14 
I_IUMD,STUD,PC_IND,LU	83.15 	81.82 	85.98 	87.16 	91.24 	94.02 	96.63 b	91.67 
I_IUMD,STUD,PC_IND,LV	55.74 	77.94 	81.68 	92.03 	91.05 b	93.75 	96.55 	97.83 
I_IUMD,STUD,PC_IND,ME	66.49 	: 	: 	: 	: 	100.00 	97.09 	100.00 
I_IUMD,STUD,PC_IND,MK	41.75 	59.13 	83.66 	86.35 	93.55 	92.38 	85.63 	99.29 
I_IUMD,STUD,PC_IND,MT	88.18 	91.57 	93.88 	100.00 	95.75 	97.20 	97.10 	96.38 
I_IUMD,STUD,PC_IND,NL	87.46 	90.74 	82.73 	93.70 	88.04 	99.70 	94.75 	97.23 
I_IUMD,STUD,PC_IND,NO	89.35 	95.74 	92.21 	91.15 	87.44 	98.97 	97.24 	98.03 
I_IUMD,STUD,PC_IND,PL	52.78 	62.99 	76.68 	87.97 	83.39 	86.88 	92.22 	95.18 
I_IUMD,STUD,PC_IND,PT	68.97 	77.82 	83.94 	91.21 	93.93 	95.65 	95.88 	93.63 
I_IUMD,STUD,PC_IND,RO	18.01 	43.39 	62.18 b	80.16 	82.45 	90.16 	88.22 	96.39 
I_IUMD,STUD,PC_IND,RS	: 	: 	: 	92.50 	: 	89.27 	93.82 	100.00 
I_IUMD,STUD,PC_IND,SE	89.47 	87.25 	89.59 	93.58 	84.57 b	91.49 	94.33 	100.00 
I_IUMD,STUD,PC_IND,SI	77.67 	84.97 	91.48 	96.40 	94.54 	97.37 	96.96 	98.06 
I_IUMD,STUD,PC_IND,SK	72.83 	82.25 	86.09 	92.90 	94.66 	94.42 	97.75 	96.43 
I_IUMD,STUD,PC_IND,TR	38.89 	50.96 	68.55 	74.47 	85.74 	90.84 	87.96 	92.95 
I_IUMD,STUD,PC_IND,UK	93.50 	94.91 	95.25 	97.54 	93.09 	94.22 	87.98 u	100.00 
I_IUMD,STUD,PC_IND,XK	: 	: 	: 	: 	: 	88.31 	94.09 	94.02 
I_IUMD,UNE,PC_IND,AL	: 	: 	: 	: 	: 	: 	53.74 	71.54 
I_IUMD,UNE,PC_IND,AT	46.11 	57.61 	53.12 	67.46 	68.80 	66.61 	68.41 	77.26 
I_IUMD,UNE,PC_IND,BA	: 	: 	: 	: 	: 	: 	60.63 	55.17 
I_IUMD,UNE,PC_IND,BE	33.10 	39.76 	50.13 	60.16 	58.74 	69.49 	75.81 	86.43 
I_IUMD,UNE,PC_IND,BG	5.33 	10.62 	15.67 	22.01 	28.44 	39.99 	36.85 	43.14 
I_IUMD,UNE,PC_IND,CH	: 	: 	73.09 u	: 	: 	66.93 b	: 	92.99 
I_IUMD,UNE,PC_IND,CY	27.18 	30.89 	42.99 	58.72 	57.62 	77.02 	75.30 	87.89 
I_IUMD,UNE,PC_IND,CZ	: u	15.68 	33.82 	33.08 	: u	49.46 	58.90 	58.84 
I_IUMD,UNE,PC_IND,DE	17.93 	32.69 	37.37 	51.28 	51.97 	59.43 	65.75 	59.05 
I_IUMD,UNE,PC_IND,DK	54.35 	62.14 	76.27 	73.17 u	92.09 	84.48 u	89.46 	95.28 u
I_IUMD,UNE,PC_IND,EA	27.98 	37.34 	46.71 	52.34 	54.34 	59.12 	64.58 	69.44 
I_IUMD,UNE,PC_IND,EE	34.35 	43.60 	55.29 b	55.16 	60.22 	67.32 	71.67 	75.89 
I_IUMD,UNE,PC_IND,EL	24.07 	23.02 	36.47 	47.65 	54.72 	56.15 	63.29 	68.35 
I_IUMD,UNE,PC_IND,ES	33.16 	46.51 	59.74 	64.82 	69.43 	77.09 	81.31 	85.35 
I_IUMD,UNE,PC_IND,EU27_2007	27.69 	36.83 	45.81 	52.28 	53.06 	58.72 	63.72 	: 
I_IUMD,UNE,PC_IND,EU27_2020	25.50 	34.31 	43.59 	50.12 	51.59 	56.88 	62.05 	68.06 
I_IUMD,UNE,PC_IND,EU28	27.84 	36.76 	45.58 	52.13 	53.05 	58.55 	63.51 	68.62 
I_IUMD,UNE,PC_IND,FI	49.56 	53.83 	65.55 	69.10 	74.65 	83.30 	75.00 	: 
I_IUMD,UNE,PC_IND,FR	45.08 	52.14 	59.72 	63.28 	60.30 b	67.81 	75.75 	83.85 
I_IUMD,UNE,PC_IND,HR	35.99 	31.87 	33.93 	44.43 	52.79 	50.38 	51.84 	66.16 
I_IUMD,UNE,PC_IND,HU	10.19 	20.36 	32.12 	44.14 	47.07 	45.69 	: u	62.29 
I_IUMD,UNE,PC_IND,IE	45.42 	51.66 	58.24 	64.81 	62.12 	71.65 	79.24 	77.43 
I_IUMD,UNE,PC_IND,IS	59.61 	58.06 	54.32 u	: 	: 	: u	: u	: u
I_IUMD,UNE,PC_IND,IT	14.38 	21.79 	29.84 	34.85 	37.52 	36.30 	43.36 	51.48 
I_IUMD,UNE,PC_IND,LT	9.61 	16.61 	20.65 	24.93 	31.69 	37.12 	45.11 	64.44 
I_IUMD,UNE,PC_IND,LU	59.97 u	64.49 u	73.41 	63.04 u	75.78 u	91.29 u	91.54 bu	84.46 u
I_IUMD,UNE,PC_IND,LV	15.90 	22.18 	26.58 	33.70 	42.80 b	48.80 	51.80 	55.72 
I_IUMD,UNE,PC_IND,ME	25.76 	: 	: 	: 	: 	68.73 	74.87 	68.76 
I_IUMD,UNE,PC_IND,MK	12.27 	21.95 	31.27 	48.88 	47.75 	63.44 	58.62 	72.24 
I_IUMD,UNE,PC_IND,MT	32.58 u	37.08 	37.61 	53.49 u	60.37 u	: u	: u	: u
I_IUMD,UNE,PC_IND,NL	64.06 	69.29 	68.65 	74.57 	79.62 	90.24 	86.06 	89.92 
I_IUMD,UNE,PC_IND,NO	71.68 u	77.88 u	76.13 u	77.04 u	74.64 u	72.27 u	81.89 u	: u
I_IUMD,UNE,PC_IND,PL	13.03 	24.44 	28.18 	34.52 	26.60 	29.37 	37.80 	55.33 
I_IUMD,UNE,PC_IND,PT	18.31 	19.86 	32.58 	36.94 	46.44 	51.41 	53.01 	60.96 
I_IUMD,UNE,PC_IND,RO	3.65 	10.10 	27.45 b	44.45 	53.18 	67.32 	61.55 	72.52 
I_IUMD,UNE,PC_IND,RS	: 	: 	: 	29.29 	: 	47.75 	61.80 	64.20 
I_IUMD,UNE,PC_IND,SE	69.36 u	57.69 	66.74 u	86.84 u	70.20 bu	91.79 u	88.81 u	89.42 u
I_IUMD,UNE,PC_IND,SI	30.17 	33.05 	43.84 	52.22 	46.16 	54.94 	71.36 	61.76 
I_IUMD,UNE,PC_IND,SK	24.35 	32.80 	43.25 	51.23 	36.29 	53.17 	47.36 	61.30 
I_IUMD,UNE,PC_IND,TR	14.58 	27.21 	38.61 	49.20 	66.52 	72.60 	79.14 	83.57 
I_IUMD,UNE,PC_IND,UK	57.62 	62.46 	71.10 	78.98 	75.64 	83.16 	81.25 	77.61 
I_IUMD,UNE,PC_IND,XK	: 	: 	: 	: 	: 	76.46 	76.19 	75.40 
I_IUMD,Y16_24,PC_IND,AL	: 	: 	: 	: 	: 	: 	82.15 	93.46 
I_IUMD,Y16_24,PC_IND,AT	82.48 	87.73 	91.28 	97.02 	96.19 	99.45 	97.25 	98.90 
I_IUMD,Y16_24,PC_IND,BA	: 	: 	: 	: 	: 	: 	92.08 	87.36 
I_IUMD,Y16_24,PC_IND,BE	69.63 	78.67 	81.39 	90.34 	91.72 	91.80 	93.48 	96.20 
I_IUMD,Y16_24,PC_IND,BG	23.27 	40.39 	57.93 	71.04 	80.60 	85.31 	87.57 	90.78 
I_IUMD,Y16_24,PC_IND,CH	: 	: 	88.38 	: 	: 	82.79 b	: 	98.04 
I_IUMD,Y16_24,PC_IND,CY	52.16 	63.58 	82.60 	94.05 	94.65 	96.42 	96.23 	97.61 
I_IUMD,Y16_24,PC_IND,CZ	: u	61.22 	74.84 	83.58 	: u	91.99 	95.55 	97.35 
I_IUMD,Y16_24,PC_IND,DE	58.31 	79.83 	88.75 	90.89 	93.10 	94.94 	97.09 	95.30 
I_IUMD,Y16_24,PC_IND,DK	87.25 	87.80 	92.78 	93.46 	93.99 	95.57 	97.35 	98.42 
I_IUMD,Y16_24,PC_IND,EA	63.95 	76.50 	82.37 	86.86 	87.49 	89.96 	91.58 	93.32 
I_IUMD,Y16_24,PC_IND,EE	65.72 	71.71 	91.15 b	93.23 	94.57 	96.70 	96.78 	98.39 
I_IUMD,Y16_24,PC_IND,EL	51.22 	63.39 	71.05 	84.33 	86.78 	89.26 	91.81 	94.39 
I_IUMD,Y16_24,PC_IND,ES	74.51 	85.07 	91.22 	92.75 	94.86 	94.82 	95.74 	98.09 
I_IUMD,Y16_24,PC_IND,EU27_2007	62.63 	74.22 	81.45 	87.03 	87.44 	90.32 	91.53 	: 
I_IUMD,Y16_24,PC_IND,EU27_2020	58.77 	71.29 	79.30 	85.72 	85.77 	89.05 	91.06 	93.64 
I_IUMD,Y16_24,PC_IND,EU28	62.86 	74.30 	81.43 	87.11 	87.43 	90.33 	91.59 	94.53 
I_IUMD,Y16_24,PC_IND,FI	80.09 	81.37 	93.14 	95.31 	95.83 	96.24 	95.58 	: 
I_IUMD,Y16_24,PC_IND,FR	77.57 	81.60 	83.52 	89.79 	85.80 b	89.82 	92.07 	94.91 
I_IUMD,Y16_24,PC_IND,HR	84.97 	82.08 	80.06 	95.23 	86.40 	90.93 	99.34 	98.37 
I_IUMD,Y16_24,PC_IND,HU	33.50 	54.39 	75.65 	84.57 	90.23 	90.54 	: u	94.49 
I_IUMD,Y16_24,PC_IND,IE	70.38 	84.35 	91.81 	91.10 	90.76 	94.63 	94.87 	98.30 
I_IUMD,Y16_24,PC_IND,IS	86.24 	82.08 	91.30 	: 	: 	95.49 	93.22 	96.62 
I_IUMD,Y16_24,PC_IND,IT	33.50 	53.58 	61.10 	67.85 	70.76 	71.84 	74.48 	80.02 
I_IUMD,Y16_24,PC_IND,LT	47.58 	63.78 	75.43 	78.65 	85.79 	90.82 	94.44 	94.31 
I_IUMD,Y16_24,PC_IND,LU	83.33 	82.32 	86.87 	89.31 	89.63 	92.06 	94.71 b	93.46 
I_IUMD,Y16_24,PC_IND,LV	54.37 	70.81 	75.07 	86.94 	87.42 b	93.61 	94.04 	96.80 
I_IUMD,Y16_24,PC_IND,ME	55.96 	: 	: 	: 	: 	96.24 	97.30 	98.68 
I_IUMD,Y16_24,PC_IND,MK	34.92 	51.62 	78.59 	85.67 	92.10 	91.26 	82.74 	96.58 
I_IUMD,Y16_24,PC_IND,MT	83.90 	82.40 	90.99 	96.09 	93.01 	97.91 	98.13 	97.73 
I_IUMD,Y16_24,PC_IND,NL	91.68 	93.54 	90.78 	90.96 	89.26 	98.49 	96.31 	97.58 
I_IUMD,Y16_24,PC_IND,NO	91.30 	93.81 	95.14 	95.40 	91.24 	97.64 	96.12 	98.12 
I_IUMD,Y16_24,PC_IND,PL	46.28 	60.11 	71.24 	84.49 	75.33 	82.00 	87.92 	93.48 
I_IUMD,Y16_24,PC_IND,PT	57.91 	66.37 	80.71 	86.20 	92.38 	94.60 	94.62 	93.62 
I_IUMD,Y16_24,PC_IND,RO	13.56 	31.47 	52.78 b	70.28 	74.06 	82.17 	83.11 	92.70 
I_IUMD,Y16_24,PC_IND,RS	: 	: 	: 	68.79 	: 	85.97 	87.97 	91.20 
I_IUMD,Y16_24,PC_IND,SE	92.38 	89.63 	91.20 	90.57 	86.29 b	93.71 	94.00 	98.50 
I_IUMD,Y16_24,PC_IND,SI	73.82 	79.85 	82.46 	94.80 	88.27 	95.66 	96.63 	96.59 
I_IUMD,Y16_24,PC_IND,SK	68.84 	79.07 	83.42 	89.58 	89.94 	90.85 	92.23 	96.46 
I_IUMD,Y16_24,PC_IND,TR	26.84 	38.94 	55.65 	63.83 	77.70 	84.68 	84.17 	89.61 
I_IUMD,Y16_24,PC_IND,UK	89.43 	93.76 	94.28 	97.02 	97.29 	97.91 	95.09 	99.57 
I_IUMD,Y16_24,PC_IND,XK	: 	: 	: 	: 	: 	89.68 	92.60 	95.02 
I_IUMD,Y25_54,PC_IND,AL	: 	: 	: 	: 	: 	: 	59.44 	75.47 
I_IUMD,Y25_54,PC_IND,AT	49.94 	57.66 	65.27 	73.96 	74.67 	84.56 	83.70 	91.03 
I_IUMD,Y25_54,PC_IND,BA	: 	: 	: 	: 	: 	: 	77.53 	69.40 
I_IUMD,Y25_54,PC_IND,BE	48.65 	51.10 	66.03 	76.93 	79.46 	83.79 	85.43 	92.73 
I_IUMD,Y25_54,PC_IND,BG	15.60 	24.21 	33.98 	48.05 	56.75 	71.47 	71.80 	79.87 
I_IUMD,Y25_54,PC_IND,CH	: 	: 	68.61 	: 	: 	75.67 b	: 	93.49 
I_IUMD,Y25_54,PC_IND,CY	26.24 	30.61 	47.67 	65.57 	71.93 	80.34 	84.99 	88.51 
I_IUMD,Y25_54,PC_IND,CZ	: u	33.46 	43.70 	53.56 	: u	73.42 	81.53 	86.33 
I_IUMD,Y25_54,PC_IND,DE	36.16 	50.47 	65.37 	74.11 	79.48 	86.41 	90.30 	88.19 
I_IUMD,Y25_54,PC_IND,DK	70.08 	75.64 	83.74 	87.43 	89.92 	91.35 	92.67 	96.00 
I_IUMD,Y25_54,PC_IND,EA	38.12 	47.23 	58.64 	64.10 	68.11 	74.55 	78.84 	83.27 
I_IUMD,Y25_54,PC_IND,EE	43.60 	54.14 	67.59 b	73.93 	75.51 	81.71 	85.36 	91.60 
I_IUMD,Y25_54,PC_IND,EL	25.81 	29.63 	43.70 	53.51 	57.29 	64.82 	67.00 	75.92 
I_IUMD,Y25_54,PC_IND,ES	43.15 	58.24 	73.05 	77.97 	83.62 	88.61 	90.62 	93.74 
I_IUMD,Y25_54,PC_IND,EU27_2007	40.15 	48.36 	58.88 	65.42 	67.98 	74.59 	78.80 	: 
I_IUMD,Y25_54,PC_IND,EU27_2020	35.77 	44.59 	55.56 	62.38 	64.78 	71.97 	76.85 	82.45 
I_IUMD,Y25_54,PC_IND,EU28	40.17 	48.34 	58.80 	65.39 	67.95 	74.54 	78.79 	83.95 
I_IUMD,Y25_54,PC_IND,FI	69.16 	73.78 	81.80 	85.18 	89.54 	91.10 	89.66 	: 
I_IUMD,Y25_54,PC_IND,FR	47.22 	56.33 	66.82 	69.33 	69.69 b	78.93 	83.26 	90.08 
I_IUMD,Y25_54,PC_IND,HR	42.31 	45.89 	48.86 	61.85 	65.04 	68.18 	77.47 	86.39 
I_IUMD,Y25_54,PC_IND,HU	20.36 	33.92 	52.80 	64.59 	69.96 	76.40 	: u	85.01 
I_IUMD,Y25_54,PC_IND,IE	58.00 	65.26 	73.25 	78.89 	78.12 	83.89 	87.74 	91.96 
I_IUMD,Y25_54,PC_IND,IS	64.43 	66.53 	75.69 	: 	: 	92.12 	88.55 	94.96 
I_IUMD,Y25_54,PC_IND,IT	18.63 	19.59 	25.69 	27.47 	32.16 	34.92 	44.99 	56.08 
I_IUMD,Y25_54,PC_IND,LT	16.19 	25.38 	33.86 	42.82 	53.34 	67.19 	74.61 	83.00 
I_IUMD,Y25_54,PC_IND,LU	67.00 	70.02 	75.69 	80.05 	81.96 	85.59 	88.69 b	92.22 
I_IUMD,Y25_54,PC_IND,LV	28.29 	37.43 	42.23 	53.25 	59.15 b	69.79 	72.83 	82.25 
I_IUMD,Y25_54,PC_IND,ME	35.76 	: 	: 	: 	: 	82.68 	86.01 	85.58 
I_IUMD,Y25_54,PC_IND,MK	17.00 	28.17 	43.07 	57.80 	63.35 	74.68 	69.92 	84.23 
I_IUMD,Y25_54,PC_IND,MT	45.26 	49.37 	58.84 	74.92 	78.02 	86.73 	85.42 	88.12 
I_IUMD,Y25_54,PC_IND,NL	61.39 	73.23 	78.17 	83.24 	86.49 	92.32 	92.27 	93.95 
I_IUMD,Y25_54,PC_IND,NO	84.28 	86.38 	88.67 	91.21 	87.11 	91.52 	94.44 	97.80 
I_IUMD,Y25_54,PC_IND,PL	25.33 	36.59 	42.71 	52.36 	35.66 	45.95 	57.79 	69.74 
I_IUMD,Y25_54,PC_IND,PT	22.20 	24.66 	41.72 	54.00 	60.59 	69.30 	73.99 	76.95 
I_IUMD,Y25_54,PC_IND,RO	8.48 	16.65 	28.59 b	43.65 	53.52 	63.51 	68.98 	80.49 
I_IUMD,Y25_54,PC_IND,RS	: 	: 	: 	44.07 	: 	67.90 	72.99 	77.01 
I_IUMD,Y25_54,PC_IND,SE	80.06 	82.14 	84.94 	85.74 	85.33 b	93.23 	92.45 	96.80 
I_IUMD,Y25_54,PC_IND,SI	33.38 	45.62 	50.70 	63.49 	68.54 	77.99 	81.30 	88.83 
I_IUMD,Y25_54,PC_IND,SK	42.45 	46.45 	59.45 	64.00 	69.44 	76.59 	74.86 	83.22 
I_IUMD,Y25_54,PC_IND,TR	12.76 	20.87 	33.41 	43.18 	57.71 	68.75 	71.46 	80.67 
I_IUMD,Y25_54,PC_IND,UK	71.33 	75.45 	81.65 	87.81 	90.12 	92.41 	91.89 	94.35 
I_IUMD,Y25_54,PC_IND,XK	: 	: 	: 	: 	: 	77.18 	79.79 	81.52 
I_IUMD,Y55_74,PC_IND,AL	: 	: 	: 	: 	: 	: 	25.35 	37.93 
I_IUMD,Y55_74,PC_IND,AT	15.79 	18.78 	23.53 	28.30 	30.58 	42.11 	44.92 	57.98 
I_IUMD,Y55_74,PC_IND,BA	: 	: 	: 	: 	: 	: 	28.63 	33.27 
I_IUMD,Y55_74,PC_IND,BE	20.73 	23.62 	33.91 	42.49 	45.10 	51.82 	52.87 	68.65 
I_IUMD,Y55_74,PC_IND,BG	2.81 	3.97 	5.10 	9.77 	12.84 	20.79 	23.44 	31.72 
I_IUMD,Y55_74,PC_IND,CH	: 	: 	28.60 	: 	: 	49.94 b	: 	75.90 
I_IUMD,Y55_74,PC_IND,CY	4.29 	3.58 	8.17 	19.68 	21.49 	32.86 	40.40 	50.80 
I_IUMD,Y55_74,PC_IND,CZ	: u	6.49 	10.91 	12.94 	: u	23.58 	28.53 	39.61 
I_IUMD,Y55_74,PC_IND,DE	10.81 	17.82 	25.70 	33.05 	38.42 	48.74 	55.00 	51.15 
I_IUMD,Y55_74,PC_IND,DK	33.71 	37.50 	51.22 	55.32 	62.33 	64.16 	75.73 	81.81 
I_IUMD,Y55_74,PC_IND,EA	12.00 	17.07 	23.12 	27.66 	30.89 	39.03 	44.41 	51.59 
I_IUMD,Y55_74,PC_IND,EE	9.63 	19.79 	23.38 b	23.95 	23.53 	31.37 	34.66 	46.31 
I_IUMD,Y55_74,PC_IND,EL	2.90 	5.00 	9.83 	10.96 	12.40 	17.61 	22.19 	30.92 
I_IUMD,Y55_74,PC_IND,ES	10.11 	16.39 	26.06 	32.22 	39.37 	48.97 	54.99 	69.23 
I_IUMD,Y55_74,PC_IND,EU27_2007	13.85 	17.62 	23.85 	29.13 	31.77 	38.87 	43.60 	: 
I_IUMD,Y55_74,PC_IND,EU27_2020	11.18 	15.46 	20.93 	25.62 	28.23 	35.58 	41.00 	49.04 
I_IUMD,Y55_74,PC_IND,EU28	13.78 	17.55 	23.73 	28.99 	31.63 	38.66 	43.47 	51.86 
I_IUMD,Y55_74,PC_IND,FI	25.65 	32.46 	39.94 	45.37 	47.15 	55.03 	55.62 	: 
I_IUMD,Y55_74,PC_IND,FR	18.73 	26.88 	31.43 	33.51 	33.27 b	41.33 	50.40 	60.71 
I_IUMD,Y55_74,PC_IND,HR	6.84 	9.58 	9.81 	14.53 	16.05 	18.63 	28.89 	41.75 
I_IUMD,Y55_74,PC_IND,HU	5.62 	8.52 	13.62 	17.83 	24.67 	27.37 	: u	41.24 
I_IUMD,Y55_74,PC_IND,IE	22.20 	26.56 	30.19 	34.60 	35.71 	48.68 	36.82 	61.80 
I_IUMD,Y55_74,PC_IND,IS	28.93 	34.06 	38.68 	: 	: 	60.95 	66.33 	68.76 
I_IUMD,Y55_74,PC_IND,IT	4.58 	3.65 	5.65 	6.98 	8.45 	11.33 	18.18 	28.31 
I_IUMD,Y55_74,PC_IND,LT	1.29 	2.41 	4.82 	6.74 	9.62 	17.88 	27.38 	39.12 
I_IUMD,Y55_74,PC_IND,LU	39.55 	48.20 	47.97 	59.23 	62.80 	68.22 	67.22 b	68.25 
I_IUMD,Y55_74,PC_IND,LV	4.80 	7.91 	8.50 	11.81 	14.34 b	21.72 	22.64 	32.12 
I_IUMD,Y55_74,PC_IND,ME	9.75 	: 	: 	: 	: 	33.20 	30.45 	41.57 
I_IUMD,Y55_74,PC_IND,MK	4.29 	4.50 	7.42 	16.84 	21.84 	28.04 	26.71 	39.16 
I_IUMD,Y55_74,PC_IND,MT	10.82 	14.11 	20.66 	29.48 	26.73 	34.57 	31.43 	44.60 
I_IUMD,Y55_74,PC_IND,NL	25.22 	36.01 	46.77 	54.86 	59.72 	71.67 	71.00 	77.44 
I_IUMD,Y55_74,PC_IND,NO	48.31 	54.06 	49.95 	59.94 	61.53 	70.85 	74.35 	82.47 
I_IUMD,Y55_74,PC_IND,PL	4.61 	8.45 	10.37 	15.71 	6.62 	10.51 	16.69 	26.21 
I_IUMD,Y55_74,PC_IND,PT	3.59 	3.63 	8.65 	13.67 	16.78 	24.23 	24.84 	29.80 
I_IUMD,Y55_74,PC_IND,RO	0.81 	3.83 	5.13 b	10.77 	12.75 	19.90 	24.84 	40.34 
I_IUMD,Y55_74,PC_IND,RS	: 	: 	: 	6.51 	: 	18.37 	22.59 	29.39 
I_IUMD,Y55_74,PC_IND,SE	41.28 	40.88 	53.75 	54.63 	67.00 b	71.73 	78.25 	85.30 
I_IUMD,Y55_74,PC_IND,SI	4.90 	9.55 	11.03 	11.90 	16.32 	26.86 	32.63 	48.07 
I_IUMD,Y55_74,PC_IND,SK	8.33 	9.78 	14.09 	15.50 	20.38 	27.65 	22.42 	36.04 
I_IUMD,Y55_74,PC_IND,TR	1.49 	2.47 	4.88 	6.94 	12.81 	19.18 	26.12 	31.98 
I_IUMD,Y55_74,PC_IND,UK	33.38 	33.86 	45.09 	55.44 	56.69 	61.27 	61.33 	72.14 
I_IUMD,Y55_74,PC_IND,XK	: 	: 	: 	: 	: 	53.91 	53.91 	62.94 
